,Aqua Blaze,Pacific Prayer,Crawl Back,Zar Zar Bing,Chasing Rascal,Ocean Girl,Inter Barty,Queen Zipper
15-12-2022 14:24:12.694259,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 18.666666666666668)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:14.014005,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 18.666666666666668)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:15.530648,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 18.666666666666668)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 6.955555555555556)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:16.742831,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 18.666666666666668)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:17.938543,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 26.818181818181817)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:19.140517,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 26.818181818181817)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:20.323825,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:21.581986,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:22.791457,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:24.067885,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:25.363248,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:26.643950,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
15-12-2022 14:24:27.858830,"(10.0, 23.0, 14.066666666666666)","(2.6, 4.7, 3.185)","(4.2, 6.8, 5.99)","(3.3, 5.2, 3.4222222222222225)","(13.0, 30.0, 19.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 11.0, 7.533333333333333)","(31.0, 220.0, 125.0)"
