,Big Time Gift,Big Time May,Denuto,Sweet Mix,Big Time Dora,Kina Magic,Ariana Sunset
11-01-2023 12:44:33.561277,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:34.889590,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:36.260392,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:37.470826,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:38.821624,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:40.041800,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:41.356634,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:42.561702,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:43.690673,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 6.444444444444445)","(8.0, 17.0, 15.955555555555556)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
11-01-2023 12:44:44.940749,"(10.0, 24.0, 22.37777777777778)","(7.5, 15.5, 13.225)","(3.8, 8.4, 7.818181818181818)","(8.0, 17.0, 15.523076923076923)","(1.65, 2.64, 2.4125)","(20.0, 190.0, 103.75)","(26.0, 290.0, 158.5)"
