,Alaskan Storm,Allonsy,Dominion Dancer,Frankly Rosie,Subculture,Tempestarii,World War Two,Mississippi Maggie,Pierroma,Reo
08-01-2023 13:29:08.244002,"(2.9, 3.75, 3.7)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:09.508662,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:10.737907,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:12.022287,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:13.257761,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:14.503391,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:15.770583,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:17.006245,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 166.0)","(61.0, 210.0, 168.33333333333331)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 7.3538461538461535)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:18.274137,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
08-01-2023 13:29:19.504728,"(2.9, 3.75, 3.6214285714285714)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 126.66666666666666)","(61.0, 200.0, 152.0)","(15.0, 29.0, 20.375)","(5.5, 7.6, 6.640000000000001)","(101.0, 220.0, 193.33333333333334)","(3.0, 3.5, 3.4373493975903613)","(81.0, 220.0, 170.0)","(3.6, 4.9, 4.733333333333333)"
