,Alaskan Storm,Allonsy,Dominion Dancer,Frankly Rosie,Subculture,Tempestarii,World War Two,Mississippi Maggie,Pierroma,Reo
08-01-2023 13:33:21.034961,"(2.9, 3.6, 3.56875)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 19.192307692307693)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5652027027027025)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.0)"
08-01-2023 13:33:22.146151,"(2.9, 3.6, 3.56875)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 19.192307692307693)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.408163265306122)"
08-01-2023 13:33:23.332609,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 18.0)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.163157894736842)"
08-01-2023 13:33:24.523278,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.252631578947369)"
08-01-2023 13:33:25.713328,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.252631578947369)"
08-01-2023 13:33:26.870200,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.252631578947369)"
08-01-2023 13:33:28.103937,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.252631578947369)"
08-01-2023 13:33:29.390694,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.252631578947369)"
08-01-2023 13:33:30.607242,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 151.42857142857144)","(15.0, 19.5, 17.7)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.51271186440678)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.1)"
08-01-2023 13:33:31.882687,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 142.5)","(15.0, 19.5, 18.25)","(5.5, 7.0, 6.446153846153846)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5009615384615387)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.1)"
08-01-2023 13:33:33.066773,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.640000000000001)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.352)"
08-01-2023 13:33:34.215295,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.7)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.352)"
08-01-2023 13:33:35.539387,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.7)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.352)"
08-01-2023 13:33:36.815570,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.7)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.352)"
08-01-2023 13:33:38.005803,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.7)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.352)"
08-01-2023 13:33:39.195527,"(2.9, 3.6, 3.4076923076923076)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.0, 6.7)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4514423076923078)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:40.411307,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 8.0, 7.288888888888889)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:41.603980,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:42.746027,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.083333333333332)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:43.863418,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 19.5)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:44.979395,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 22.0, 19.5)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.0)"
08-01-2023 13:33:46.188917,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.333333333333332)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.0)"
08-01-2023 13:33:47.315685,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.0)"
08-01-2023 13:33:48.541096,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.411111111111111)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.0)"
08-01-2023 13:33:49.861294,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.074074074074074)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.0)"
08-01-2023 13:33:51.251260,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.074074074074074)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.25)"
08-01-2023 13:33:52.606807,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.074074074074074)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.25)"
08-01-2023 13:33:54.063174,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.8, 7.074074074074074)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.04)"
08-01-2023 13:33:55.416673,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.8, 7.074074074074074)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.04)"
08-01-2023 13:33:56.778047,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 17.545454545454547)","(5.5, 7.8, 6.742857142857143)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 4.917142857142857)"
08-01-2023 13:33:58.053767,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.6, 6.742857142857143)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 4.915789473684211)"
08-01-2023 13:33:59.328132,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.6, 6.715789473684211)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 4.9625)"
08-01-2023 13:34:00.548953,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.6, 6.715789473684211)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.9625)"
08-01-2023 13:34:01.830201,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.9625)"
08-01-2023 13:34:03.149018,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.9625)"
08-01-2023 13:34:04.390286,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.9625)"
08-01-2023 13:34:05.594542,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.9625)"
08-01-2023 13:34:06.862986,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 17.545454545454547)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.8909090909090915)"
08-01-2023 13:34:08.165802,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 20.0, 18.142857142857142)","(5.5, 7.4, 6.955555555555556)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 4.8909090909090915)"
08-01-2023 13:34:09.471564,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.4, 5.1)"
08-01-2023 13:34:10.773768,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.1)"
08-01-2023 13:34:12.054703,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.1)"
08-01-2023 13:34:13.237813,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.5, 5.24)"
08-01-2023 13:34:14.437714,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:15.673189,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 130.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:16.950815,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 140.0)","(15.0, 21.0, 18.142857142857142)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:18.205571,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 140.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:19.484615,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 130.0)","(61.0, 180.0, 140.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:20.873112,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 162.0)","(61.0, 180.0, 140.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:22.173625,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 162.0)","(61.0, 180.0, 155.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:23.436657,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 162.0)","(61.0, 180.0, 147.5)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:24.651039,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 162.0)","(61.0, 180.0, 147.5)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:25.822756,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 162.0)","(61.0, 180.0, 147.5)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:27.035406,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 162.0)","(61.0, 180.0, 147.5)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:28.282715,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 175.71428571428572)","(61.0, 180.0, 135.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:29.517607,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 175.71428571428572)","(61.0, 180.0, 135.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:30.831218,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:32.170726,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:33.431475,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 21.0, 19.666666666666668)","(5.5, 7.4, 7.3090909090909095)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.4528301886792456)","(81.0, 220.0, 170.0)","(3.6, 5.6, 5.24)"
08-01-2023 13:34:34.650064,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 21.0, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5428571428571427)","(81.0, 220.0, 170.0)","(3.6, 5.6, 4.7250000000000005)"
08-01-2023 13:34:35.823804,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:37.030538,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:38.226165,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:39.413589,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:40.685546,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:42.072459,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 136.66666666666666)","(61.0, 210.0, 133.33333333333334)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:43.500823,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 166.0)","(61.0, 210.0, 152.5)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
08-01-2023 13:34:44.968126,"(2.9, 3.6, 3.4214285714285717)","(71.0, 210.0, 143.33333333333334)","(61.0, 210.0, 152.5)","(61.0, 180.0, 135.0)","(15.0, 19.5, 17.294117647058822)","(5.5, 7.4, 6.926315789473684)","(101.0, 230.0, 205.0)","(3.0, 3.6, 3.5502890173410404)","(81.0, 220.0, 170.0)","(3.6, 5.2, 4.7250000000000005)"
