,Farmor Smitten,Joey The Poke,Haras Harley,Lingonberry,Bogie Hurricane,Comical Hope
09-01-2023 18:22:03.550962,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:04.630715,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:05.854821,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:07.066673,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:08.276740,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:09.336204,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:10.297424,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:11.537676,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:12.829677,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
09-01-2023 18:22:14.055404,"(10.0, 22.0, 11.0)","(5.0, 8.8, 6.628571428571429)","(3.8, 6.6, 5.16)","(91.0, 590.0, 504.16666666666663)","(1.55, 1.71, 1.545)","(19.0, 60.0, 40.68181818181819)"
