,O T C Wiz,Slim Jimmy,Stapleton Song,El Tomate,Pass It Around,Sazon,Propellant
15-12-2022 11:25:22.449679,"(9.0, 14.0, 12.666666666666666)","(4.4, 6.2, 5.309090909090909)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:23.426277,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.166666666666667)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:24.449718,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.410526315789474)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:25.537289,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:26.673540,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:27.754323,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:28.716833,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:29.699853,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:30.743748,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 26.357142857142858)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:31.831491,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 28.5)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:32.956662,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 28.5)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
15-12-2022 11:25:34.036333,"(9.0, 14.0, 13.3)","(4.4, 5.4, 5.260000000000001)","(16.0, 34.0, 32.857142857142854)","(4.4, 5.6, 5.39047619047619)","(10.0, 36.0, 28.5)","(15.0, 55.0, 42.83333333333333)","(2.4, 2.94, 2.7840000000000003)"
