,Rich Devil,Always Barney,Mr Banner,Trial By Combat,Spooky Ethics,Next Of Kinloch,Prince Majestic,Greek Warrior
09-01-2023 14:47:48.099233,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.5885714285714285)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:49.304822,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.5885714285714285)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:50.700123,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:52.290865,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:53.722642,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:55.016466,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:56.355848,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:57.591424,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:47:58.914282,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:00.407884,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:01.771883,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:03.126511,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:04.429290,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:05.677873,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:07.006034,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
09-01-2023 14:48:08.408074,"(5.0, 11.0, 6.928571428571429)","(51.0, 330.0, 100.83333333333334)","(7.5, 18.0, 12.12)","(41.0, 290.0, 163.0)","(2.3, 3.6, 2.482105263157895)","(3.2, 5.1, 3.5482758620689654)","(7.0, 13.5, 11.333333333333332)","(21.0, 130.0, 78.0)"
