,Confused,Cookie Cotton,Sadie Seahorse,Elsie Bay,Concord Prince,Bundy Trigger,Victor Sannette,Melissas Louise
11-01-2023 11:55:00.231811,"(3.6, 6.4, 5.328571428571429)","(20.0, 60.0, 34.666666666666664)","(12.0, 25.0, 19.15)","(10.0, 17.0, 14.291666666666666)","(41.0, 310.0, 116.8)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:01.321403,"(3.6, 7.2, 6.533333333333333)","(20.0, 60.0, 34.666666666666664)","(12.0, 22.0, 19.15)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:02.397846,"(3.6, 7.2, 6.355555555555556)","(20.0, 60.0, 34.666666666666664)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:03.426367,"(3.6, 7.2, 6.114285714285714)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:04.752313,"(3.6, 7.2, 6.114285714285714)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:05.784340,"(3.6, 7.2, 6.114285714285714)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:06.847771,"(3.6, 7.4, 6.0)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:07.839625,"(3.6, 7.4, 6.666666666666667)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:08.827395,"(3.6, 7.4, 6.0)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
11-01-2023 11:55:10.223479,"(3.6, 7.4, 6.0)","(20.0, 60.0, 35.333333333333336)","(12.0, 21.0, 18.45)","(10.0, 17.0, 14.291666666666666)","(41.0, 400.0, 90.25)","(8.5, 13.5, 12.525)","(1.75, 2.46, 2.1133333333333333)","(12.0, 25.0, 20.4)"
