,Malibu Bale,Aston Nancy,Drop Fifty,Glasgow Magic,Gomez Bale,Tiggys Em,Zulu Ghost
0,"[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 40, 683218), 10.0, 20.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 41, 796308), 10.0, 20.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 42, 930269), 10.0, 20.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 44, 40024), 10.0, 20.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 45, 157668), 10.0, 20.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 46, 271897), 10.0, 20.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 47, 386340), 10.0, 20.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 48, 498346), 10.0, 20.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 49, 623386), 10.0, 20.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 50, 732853), 10.0, 20.0]"
10,"[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 51, 847053), 10.0, 20.0]"
11,"[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 52, 980834), 10.0, 20.0]"
12,"[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 54, 103929), 10.0, 20.0]"
13,"[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 55, 215203), 10.0, 20.0]"
14,"[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 56, 331836), 10.0, 20.0]"
15,"[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 57, 445461), 10.0, 20.0]"
16,"[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 58, 563575), 10.0, 20.0]"
17,"[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 13, 59, 673765), 10.0, 20.0]"
18,"[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 14, 0, 791398), 10.0, 20.0]"
19,"[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 14, 1, 900248), 10.0, 20.0]"
20,"[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 14, 3, 22046), 10.0, 20.0]"
21,"[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 2.7, 4.4]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 1.9, 2.7]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 14, 14, 4, 142791), 10.0, 20.0]"
