,Mr Wallace,Windshadow,Jackson On Time,Cassimir,Bel Air,Silentsar,Pharoah Magic,The Lions Gate,Sha Of Gomer,Snitcat,Avebury,Wild Calm,Arts Object,Iron Grace,Dolly Bird,Dirty Dancing
07-01-2023 11:33:40.689160,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 16.982758620689655)","(41.0, 150.0, 102.5)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.88, 2.8616528925619833)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.428571428571429)","(5.0, 7.2, 6.911111111111111)","(10.0, 15.0, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:42.698371,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 140.0, 82.0)","(18.0, 27.0, 25.772727272727273)","(2.6, 2.88, 2.821140684410646)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.5)","(5.0, 7.0, 7.16)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:44.782322,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.88, 2.821140684410646)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.5)","(5.0, 7.2, 7.16)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:46.701485,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.88, 2.8233333333333333)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.5)","(5.0, 7.2, 7.176)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:48.620323,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.86, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.5)","(5.0, 7.2, 6.947368421052632)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:50.573825,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.166666666666668)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.5)","(5.0, 7.2, 6.947368421052632)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:52.492984,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 27.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.333333333333334)","(5.0, 7.0, 6.7073170731707314)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:54.382190,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.333333333333334)","(5.0, 7.0, 6.618604651162791)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(91.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:56.286383,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.333333333333334)","(5.0, 7.0, 6.618604651162791)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(81.0, 120.0, 116.66666666666667)"
07-01-2023 11:33:58.179870,"(31.0, 40.0, 38.6875)","(14.0, 17.5, 17.017857142857142)","(41.0, 150.0, 82.0)","(18.0, 28.0, 26.363636363636363)","(2.6, 2.82, 2.816049382716049)","(16.0, 21.0, 20.066666666666666)","(61.0, 75.0, 73.0)","(41.0, 65.0, 63.18181818181818)","(12.0, 16.0, 15.61111111111111)","(11.0, 14.0, 13.4375)","(5.0, 7.0, 6.618604651162791)","(10.0, 14.5, 14.384615384615385)","(91.0, 150.0, 120.0)","(31.0, 42.0, 40.90909090909091)","(41.0, 60.0, 57.5)","(81.0, 120.0, 116.66666666666667)"
