,Linxx,United,Goodtime Maddie,Thomas Heights,Wow You Can Dance,Accelere Nz,Dancing Finn
10-01-2023 19:20:59.725243,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:00.739305,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:01.790088,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:02.881922,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:04.127524,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:05.126549,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:06.192103,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:07.214737,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:08.418159,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:09.444771,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:10.494296,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:11.457112,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:12.473342,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:13.578196,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 3.9749999999999996)","(3.8, 99999, 99990)","(2.15, 2.6, 2.535)"
10-01-2023 19:21:14.620637,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.6, 2.46)"
10-01-2023 19:21:15.678922,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:16.768063,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:17.860096,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:18.960472,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:20.069677,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:21.152029,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:22.215225,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:23.272281,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:24.337362,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:25.382891,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:26.400190,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:27.385719,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:28.417751,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:29.429428,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:30.513228,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:31.479167,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:32.529250,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:33.584606,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:34.652418,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:35.716334,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:36.723244,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:37.829360,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:38.888350,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:39.881278,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:40.846099,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:41.898073,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:42.915844,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:43.910432,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:44.936376,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:45.934351,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:47.070826,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:48.125578,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:49.126160,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:50.161149,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:51.182240,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:52.152079,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:53.120075,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:54.129439,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:55.257594,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:56.331409,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:57.425352,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:58.542535,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:21:59.618379,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:00.695201,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:01.768307,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:02.766755,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:03.805363,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:04.732494,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:05.709890,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:06.854986,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
10-01-2023 19:22:07.944111,"(15.0, 21.0, 16.0)","(7.5, 9.8, 7.8500000000000005)","(41.0, 80.0, 58.0)","(61.0, 120.0, 100.0)","(3.0, 4.3, 4.1)","(3.8, 99999, 99990)","(2.15, 2.58, 2.46)"
