,Know Malice,Goldstar Hoot,Homebush Cinder,Impressive Charm,Ruidosa,Brendon Baxter,Freds Grey Way,Libelle
09-01-2023 11:49:40.586824,"(4.6, 14.5, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:41.597336,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:42.630013,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:43.700865,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:44.836755,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:45.946356,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:47.011011,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:48.163125,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:49.293412,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 19.545454545454547)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:50.396196,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 21.0)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:51.543322,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 28.0, 21.0)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:52.639779,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 28.0, 21.0)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:53.743757,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 28.0, 21.0)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:54.871661,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 28.0, 21.0)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:55.996801,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 28.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:57.099643,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:58.183766,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:49:59.307002,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:00.439528,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:01.560505,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:02.702942,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
09-01-2023 11:50:03.802126,"(4.6, 14.0, 11.149999999999999)","(4.2, 12.5, 7.4)","(7.5, 30.0, 23.235294117647058)","(12.0, 75.0, 71.20588235294117)","(3.8, 6.0, 4.629166666666666)","(5.0, 17.0, 9.4375)","(26.0, 290.0, 95.81818181818181)","(6.5, 24.0, 20.1304347826087)"
