,Devils Water,Radiant Betty,Tiggerlong Rebel,Silver Compass,Holiday In Paris,Smiling Spaniard,All Inn Chester,Ziems Park Girl
05-01-2023 12:41:25.146925,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:26.412893,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:27.780179,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:29.011964,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:30.259654,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:31.461598,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:32.646515,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:33.902037,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:35.058521,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
05-01-2023 12:41:36.198052,"(14.0, 36.0, 33.75)","(5.0, 10.5, 5.733333333333333)","(4.6, 6.8, 5.0)","(8.5, 21.0, 9.975)","(15.0, 34.0, 31.95)","(2.8, 3.75, 2.9653846153846155)","(4.2, 6.4, 6.042857142857143)","(17.0, 55.0, 38.75)"
