,Forward Step,Nut Butter Jam,Strum The Banjo,Aquata,Will She Stay,Confound
11-01-2023 13:25:30.622166,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:31.803632,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:32.932588,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:34.124370,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:35.244245,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:36.318483,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:37.442795,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:38.614448,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:39.743397,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:40.884076,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:42.046924,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:43.145188,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.875)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:44.265081,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 53.81818181818182)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:45.396329,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 64.61538461538461)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:46.559659,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 64.61538461538461)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:47.888759,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 64.61538461538461)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:49.043392,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 64.61538461538461)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:50.210564,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 64.61538461538461)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:51.400674,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:52.584206,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:53.749984,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:54.922557,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:56.076474,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:57.272591,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:58.463217,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:25:59.542142,"(3.9, 5.9, 5.260869565217392)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:00.731659,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:01.862603,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:02.956765,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:04.127942,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:05.251661,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:06.358415,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:07.489688,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:08.583437,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 11.266666666666666)"
11-01-2023 13:26:09.722180,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:10.870812,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:11.935271,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:13.034718,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.636363636363637)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:14.152780,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 14.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:15.246351,"(3.9, 5.9, 4.675)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.350000000000001)"
11-01-2023 13:26:16.415476,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:17.521847,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:18.665391,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:19.810457,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:20.893260,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:21.969940,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:23.067686,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:24.157049,"(3.9, 5.9, 4.465)","(31.0, 120.0, 75.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:25.286612,"(3.9, 5.9, 4.465)","(31.0, 120.0, 65.84615384615384)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:26.406503,"(3.9, 5.9, 4.465)","(31.0, 120.0, 65.84615384615384)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:27.518617,"(3.9, 5.9, 4.465)","(31.0, 120.0, 65.84615384615384)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:28.646928,"(3.9, 5.9, 4.465)","(31.0, 120.0, 65.84615384615384)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:29.797266,"(3.9, 5.9, 4.465)","(31.0, 120.0, 65.84615384615384)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:30.918686,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
11-01-2023 13:26:32.099282,"(3.9, 5.9, 4.465)","(31.0, 120.0, 76.0)","(2.9, 3.95, 2.9875)","(7.5, 13.0, 7.75)","(2.7, 4.4, 2.8812499999999996)","(7.0, 13.5, 10.45)"
