,Whos Your Papi,Miss Terri,Within Range,Werina Force,Uncle Charlie,King Wylde,Crayfish,Seaway Flyer
08-01-2023 12:19:36.770407,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.607692307692307)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:37.858036,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.607692307692307)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:38.899833,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.607692307692307)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:39.957701,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.607692307692307)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:41.069643,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:42.161264,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:43.298521,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:44.384441,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:45.450967,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:46.494742,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:47.581120,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:48.595030,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:49.604864,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:50.648585,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:51.736480,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.0254545454545454)"
08-01-2023 12:19:52.846313,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.42, 2.1)"
08-01-2023 12:19:53.928295,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 31.38888888888889)","(1.65, 2.4, 2.1)"
08-01-2023 12:19:55.024721,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.4, 2.0109090909090908)"
08-01-2023 12:19:56.121543,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:19:57.211592,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:19:58.263696,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
08-01-2023 12:19:59.305272,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.885714285714286)","(18.0, 50.0, 33.25)","(1.65, 2.38, 2.0109090909090908)"
