,Steel Hawk,Uninhabited Man,Grannys Poor,Marcia Hook,My Blaze,Buddys Mate
10-01-2023 18:27:08.320942,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:09.292855,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:10.278355,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:11.448519,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:12.487242,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:13.795319,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.7492857142857146)"
10-01-2023 18:27:14.843055,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.65, 2.696415094339623)"
10-01-2023 18:27:15.854015,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:16.840857,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:17.819056,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:18.870212,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:19.945328,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:20.987241,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.7, 3.55, 2.696415094339623)"
10-01-2023 18:27:22.054256,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:23.143399,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:24.311549,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:25.323819,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:26.459870,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:27.717585,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:28.745723,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:29.869758,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:30.887165,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:31.843916,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:32.873698,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:33.917501,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:34.981394,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:35.984799,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:37.014443,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:38.104683,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:39.168400,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:40.284262,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:41.216943,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
10-01-2023 18:27:42.219144,"(13.0, 32.0, 29.875)","(5.5, 11.5, 5.742857142857143)","(6.0, 12.5, 6.409090909090909)","(2.8, 3.9, 3.363157894736842)","(7.0, 13.5, 12.861904761904762)","(2.6, 3.55, 2.696415094339623)"
