,Adonis Kick,Princeton Award,Almsgiver,Abreed,Vadaboy,Flame Of Venice,Light Up The Moon,Mr Mischief,Allaboutattitude
04-01-2023 14:21:26.700034,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.415384615384616)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.615384615384615)","(3.5, 3.95, 3.920229007633588)","(5.0, 6.8, 6.68936170212766)","(12.0, 18.5, 17.071428571428573)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:28.286616,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.415384615384616)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.53125)","(3.5, 3.95, 3.920229007633588)","(5.0, 6.8, 6.68936170212766)","(12.0, 18.5, 17.071428571428573)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:29.869393,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.415384615384616)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.53125)","(3.5, 3.95, 3.9191729323308273)","(5.0, 6.8, 6.663829787234042)","(12.0, 18.5, 17.071428571428573)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:31.116543,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.415384615384616)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.53125)","(3.5, 3.95, 3.9348837209302325)","(5.0, 6.8, 6.681818181818182)","(12.0, 18.5, 16.666666666666668)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:32.359026,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.415384615384616)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.423076923076923)","(3.5, 3.95, 3.9348837209302325)","(5.0, 6.8, 6.681818181818182)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:33.569648,"(7.0, 9.4, 9.166666666666666)","(3.9, 4.5, 4.435294117647059)","(11.0, 17.5, 16.826923076923077)","(8.5, 11.0, 10.423076923076923)","(3.5, 3.95, 3.9365853658536585)","(5.0, 6.8, 6.681818181818182)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:34.740922,"(7.0, 9.4, 9.244444444444445)","(3.9, 4.5, 4.435294117647059)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 3.95, 3.9298969072164947)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:35.971149,"(7.0, 9.4, 9.325)","(3.9, 4.5, 4.4425)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 4.0, 3.9298969072164947)","(5.0, 6.8, 6.666666666666667)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:37.274541,"(7.0, 10.0, 9.616)","(3.9, 4.5, 4.4281250000000005)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 4.0, 3.948780487804878)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
04-01-2023 14:21:38.494599,"(7.0, 9.8, 9.658823529411766)","(3.9, 4.5, 4.4281250000000005)","(11.0, 17.5, 16.826923076923077)","(8.5, 10.5, 10.282608695652174)","(3.5, 4.0, 3.963157894736842)","(5.0, 6.8, 6.684444444444445)","(12.0, 18.0, 16.4)","(21.0, 36.0, 31.09090909090909)","(31.0, 60.0, 52.0)"
