,Wheres Our Money,Iam The Joker,Remember Bubbles,Yellow Bow,Blissfull Identity,Power To Bolt,Diesel Don,Shes So Brave,Carramar Kasiano,The Ringmaster
05-01-2023 12:48:59.707364,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:01.192458,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:02.881716,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:04.323933,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:05.765771,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:07.243390,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:08.620806,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:10.032212,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:11.687508,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:13.154809,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:14.712206,"(1.9, 3.7, 2.0353658536585364)","(26.0, 110.0, 31.77777777777778)","(71.0, 230.0, 180.0)","(31.0, 120.0, 90.60000000000001)","(11.0, 28.0, 20.560000000000002)","(61.0, 230.0, 178.57142857142858)","(10.0, 24.0, 16.6)","(7.5, 16.0, 12.64)","(2.8, 5.4, 3.6133333333333337)","(51.0, 220.0, 153.25)"
05-01-2023 12:49:16.141127,"(1.9, 3.7, 2.825)","(26.0, 110.0, 48.0)","(71.0, 230.0, 130.0)","(31.0, 120.0, 90.44444444444446)","(11.0, 28.0, 19.96)","(61.0, 230.0, 171.42857142857142)","(10.0, 24.0, 11.5)","(7.5, 16.0, 12.34)","(2.8, 5.4, 3.58)","(51.0, 220.0, 162.0)"
05-01-2023 12:49:17.690082,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:19.125269,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:20.700864,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:22.108389,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:23.548678,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:25.012993,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:26.444517,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:27.834914,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:29.222115,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:30.656087,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
05-01-2023 12:49:31.980646,"(1.9, 3.65, 2.8)","(26.0, 100.0, 48.0)","(71.0, 220.0, 130.0)","(31.0, 110.0, 90.44444444444446)","(11.0, 27.0, 19.96)","(61.0, 220.0, 171.42857142857142)","(10.0, 23.0, 11.5)","(7.5, 15.5, 12.34)","(2.8, 5.3, 3.58)","(51.0, 210.0, 162.0)"
