,Bedford Estate,Never Dance,Skinny Dip,Attrition,Brazen Kingdom,Cryptic Clue,Hurricane Ketut,Memphis Shadow,Mirroring,Think Rock,Normandy Belle
11-01-2023 14:55:44.193054,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 38.94117647058823)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.4, 4.278125)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 48.0, 44.83333333333333)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:45.692418,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.4, 4.278125)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 48.0, 38.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:47.226169,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.4, 4.278125)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 48.0, 37.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:48.797118,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.4, 4.232)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 46.0, 34.0)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:50.362629,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.4, 4.2375)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 46.0, 34.0)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:51.850645,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.3, 4.164705882352941)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 46.0, 34.0)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:53.359471,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.3, 4.164705882352941)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 46.0, 34.0)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:54.808746,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.3, 4.164705882352941)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 46.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:56.250543,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.3, 4.164705882352941)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
11-01-2023 14:55:57.792437,"(20.0, 27.0, 26.53846153846154)","(26.0, 42.0, 36.42857142857143)","(18.0, 29.0, 24.2)","(2.7, 3.6, 3.4083769633507854)","(3.7, 4.3, 4.164705882352941)","(31.0, 48.0, 41.0)","(10.0, 13.5, 13.166666666666666)","(7.0, 9.0, 8.88888888888889)","(17.0, 23.0, 22.23076923076923)","(26.0, 44.0, 41.5)","(11.0, 13.5, 13.117647058823529)"
