,Judge Jujon,Oyster Stride,The Sportz Star,The Irish Eagle,Chainlinc,King Of Trumps Nz,Whataboyjack
12-01-2023 14:22:54.953618,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:22:56.307608,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:22:57.523224,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:22:58.852607,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:23:00.043857,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:23:01.271433,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 74.0)","(17.0, 30.0, 20.0)","(6.0, 9.4, 8.314285714285713)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.135)"
12-01-2023 14:23:02.556561,"(4.6, 8.0, 7.879166666666666)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:03.754249,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:04.965922,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:06.218816,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:07.389753,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:08.665310,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:09.947903,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:11.158747,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:12.344010,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:13.596197,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:14.833624,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
12-01-2023 14:23:16.009854,"(4.6, 8.0, 7.829411764705882)","(41.0, 90.0, 54.0)","(17.0, 30.0, 21.0)","(6.0, 9.4, 8.133333333333333)","(2.7, 3.95, 3.5985714285714288)","(14.0, 99999, 99990)","(2.5, 3.25, 3.02)"
