,Pierre Bale,Zipping Bronte,War Time Novelty,Acclaimed,Stella Girl,Blazing Arnie,Audenzia,Pandorica
10-01-2023 15:40:44.070434,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 40.85714285714286)","(20.0, 170.0, 58.0)","(11.0, 32.0, 27.735294117647058)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:45.253107,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 40.85714285714286)","(20.0, 170.0, 58.0)","(11.0, 32.0, 23.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:46.421014,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 23.25)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:47.590091,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 32.90909090909091)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:48.892714,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:50.161371,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 24.5)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:51.383870,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:52.386582,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:53.515403,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:54.723387,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:55.915762,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:57.074769,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:58.304934,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
10-01-2023 15:40:59.426784,"(2.4, 2.62, 2.4033333333333333)","(2.45, 3.45, 3.166666666666667)","(6.5, 10.0, 6.571428571428571)","(11.0, 23.0, 21.625)","(18.0, 70.0, 33.27272727272727)","(20.0, 170.0, 58.0)","(11.0, 32.0, 26.583333333333332)","(26.0, 260.0, 124.08333333333334)"
