,The Inside Scoop,Happy Dayz,Zac Your Nobody,Endoftheroad,Bealawyer,Im Drinkindoubles,Yankeedelight Nz,Nomorecheeseplease,Tiger Toast,Cherry On The Cake,Luke Attack
0,"[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 37, 794581), 2.0, 2.32]"
1,"[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 39, 234786), 2.0, 2.32]"
2,"[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 40, 651073), 2.0, 2.32]"
3,"[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 41, 982920), 2.0, 2.32]"
4,"[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 43, 301999), 2.0, 2.32]"
5,"[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 44, 601610), 2.0, 2.32]"
6,"[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 45, 886021), 2.0, 2.32]"
7,"[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 47, 166647), 2.0, 2.32]"
8,"[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 48, 445825), 2.0, 2.32]"
9,"[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 20.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 9.0, 17.5]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 101.0, 370.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 5.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 61.0, 130.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 61.0, 190.0]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 17, 1, 49, 798838), 2.0, 2.32]"
