,Orson Time,Broombrae Blaze,Systems Down,Sleepy Joe,Italian Steal,Genius You
06-01-2023 12:16:20.216258,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:21.146555,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:22.160366,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:23.124966,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:23.986268,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:24.922062,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:25.935120,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:26.917927,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:27.929222,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:28.919993,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:29.819189,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:30.752286,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:31.766706,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:32.642390,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:33.520007,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:34.508004,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:35.498694,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:36.592879,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:37.571920,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:38.475537,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:39.370882,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:40.334519,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
06-01-2023 12:16:41.325742,"(6.5, 13.0, 6.7)","(10.0, 18.5, 17.3875)","(10.0, 23.0, 16.2)","(5.5, 8.8, 8.114285714285714)","(3.5, 6.4, 3.96304347826087)","(2.3, 3.35, 2.4166666666666665)"
