,Blackbrush Scott,Dont Tell Margy,Kakariki,Dewana Imagine,Nanny In Town,Highgate Billie,Copper Mountain,Dewana Be Happy
777,"[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 4.6, 7.2]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 1.5, 1.67]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 31.0, 44.0]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 13.0, 20.0]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 52, 59, 358017), 6.0, 7.4]"
778,"[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 4.6, 7.2]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 1.5, 1.68]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 0, 511492), 6.0, 7.4]"
779,"[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 5.0, 7.0]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 1.45, 1.67]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 31.0, 44.0]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 1, 659750), 6.0, 7.4]"
780,"[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 5.0, 7.0]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 1.45, 1.67]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 2, 810794), 6.0, 7.4]"
781,"[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 5.0, 7.0]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 31.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 3, 947735), 6.0, 7.2]"
782,"[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 5, 103355), 6.0, 7.2]"
783,"[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 6, 241828), 6.0, 7.2]"
784,"[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 7, 379305), 6.0, 7.2]"
785,"[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 31.0, 65.0]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 8, 510242), 6.0, 7.2]"
786,"[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 9, 647331), 6.0, 7.2]"
787,"[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 1.45, 1.7]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 10, 804663), 6.0, 7.0]"
788,"[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 1.45, 1.69]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 11, 948140), 6.0, 7.2]"
789,"[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 1.45, 1.7]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 13, 81416), 6.0, 7.2]"
790,"[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 5.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 1.45, 1.7]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 31.0, 42.0]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 51.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 53, 14, 221523), 6.0, 7.2]"
