,Abdominis,Reservior Frank,Fur Real Zeal,Solar Tigress,Juice,Jonos Eagle,Speedy Cashew
09-01-2023 17:01:37.727286,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 7.233333333333334)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:38.774986,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 7.233333333333334)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:39.814437,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 7.233333333333334)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:40.880950,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 7.233333333333334)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:41.937176,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 7.233333333333334)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:43.057189,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 5.6000000000000005)","(7.0, 16.0, 9.618181818181817)","(21.0, 250.0, 90.71428571428572)"
09-01-2023 17:01:44.420543,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 57.14285714285714)","(9.0, 20.0, 16.46666666666667)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 5.733333333333333)","(7.0, 16.0, 13.133333333333333)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:45.655837,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.542857142857143)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:46.947078,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.542857142857143)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:48.163086,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 17.333333333333332)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.542857142857143)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:49.272835,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:50.420762,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:51.494023,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:52.647707,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 71.71428571428572)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:53.797828,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:55.043530,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:56.202532,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:57.489294,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:58.702545,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:01:59.734496,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:00.733423,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:01.723161,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:02.716705,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:03.645724,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:04.627909,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:05.687636,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 15.923076923076923)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:06.881105,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 112.76923076923077)"
09-01-2023 17:02:07.941967,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.618181818181817)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:09.047205,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:10.170801,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:11.343326,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:12.681758,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:13.893731,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:15.103497,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.266666666666666)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:16.270114,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:17.504874,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:18.553560,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:19.660484,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:20.710393,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:21.672208,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:22.779334,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:23.799196,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:24.849352,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:25.876386,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:26.878983,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:27.832903,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:28.787276,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:29.842826,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:30.963124,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:32.026923,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.129999999999999)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:33.100924,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 13.4)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:34.139856,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.377777777777778)","(7.0, 15.5, 11.85)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:35.220814,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 11.85)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:36.268947,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 11.85)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:37.391009,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.457142857142857)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:38.459085,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.457142857142857)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:39.513026,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.457142857142857)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:40.571669,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.457142857142857)","(21.0, 250.0, 122.57142857142857)"
09-01-2023 17:02:41.645371,"(1.5, 1.59, 1.588881118881119)","(31.0, 130.0, 67.84615384615384)","(9.0, 20.0, 16.214285714285715)","(11.0, 24.0, 19.384615384615387)","(4.8, 8.4, 5.733333333333333)","(7.0, 15.5, 12.457142857142857)","(21.0, 250.0, 122.57142857142857)"
