,Diamond Chipper,Ohoka Torey,Goldstar Linda,Aramoana,Money Bags,Maisey,Culvie Bun,Homebush Honey
08-12-2022 12:50:24.026739,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:25.492243,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:26.971505,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:28.367721,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:29.720880,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:31.100235,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:32.417094,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:33.777562,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:35.151644,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
08-12-2022 12:50:36.558774,"(4.6, 7.2, 6.7)","(12.0, 26.0, 22.72)","(2.45, 3.4, 2.824)","(7.0, 19.5, 17.316666666666666)","(4.6, 12.5, 10.607692307692307)","(12.0, 26.0, 24.545454545454547)","(14.0, 30.0, 28.363636363636363)","(10.0, 34.0, 31.745454545454542)"
