,From The Shire,Mr Original,Sonic Groove,Jess Trees,Loveless,Little Hercules,Wheres Eddie
06-01-2023 10:29:08.329960,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.432948717948718)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:09.297115,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:10.285829,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:11.297316,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:12.277972,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:13.264429,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:14.283197,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 32.0, 25.823529411764707)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:15.188865,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:16.137225,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:17.064027,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:17.986139,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:18.902341,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:19.844802,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:20.789813,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:21.781538,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:22.751694,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:23.734982,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:24.759668,"(4.8, 10.5, 5.2749999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:25.797530,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:26.866321,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:27.889454,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:28.842528,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:29.764271,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
06-01-2023 10:29:30.725605,"(4.8, 8.2, 5.4799999999999995)","(2.0, 3.15, 2.0141666666666667)","(4.4, 8.4, 4.637499999999999)","(11.0, 25.0, 23.923076923076923)","(7.5, 18.5, 9.157142857142857)","(31.0, 230.0, 128.5)","(6.5, 13.5, 7.011111111111111)"
