,Autumn Doll,Cab Fare Home,Tinker Yvonne,Foxtrot Tango,Zaras Princess,Blue Tick Maya
07-01-2023 20:42:03.402690,"(10.0, 30.0, 25.25)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:04.374704,"(10.0, 30.0, 25.25)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:05.372228,"(10.0, 30.0, 25.25)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:06.380466,"(10.0, 30.0, 25.25)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:07.270801,"(10.0, 30.0, 25.25)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:08.277642,"(10.0, 30.0, 26.916666666666668)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:09.258419,"(10.0, 30.0, 28.766666666666666)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:10.151668,"(10.0, 30.0, 28.766666666666666)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:11.107147,"(10.0, 30.0, 28.766666666666666)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:12.152378,"(10.0, 30.0, 28.766666666666666)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
07-01-2023 20:42:13.180736,"(10.0, 30.0, 28.766666666666666)","(3.3, 5.4, 5.04)","(7.0, 12.5, 10.314285714285715)","(9.0, 16.5, 16.30851063829787)","(4.6, 7.2, 7.032835820895523)","(2.5, 2.78, 2.718181818181818)"
