,Dayseas Trudie,Mayfair Fantasy,Got No Torque,Meg Bee,Heres Caza,Me And You,Calla Sue,Miss Sassy
04-01-2023 14:39:07.899225,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:09.038040,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:10.112625,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:11.244066,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:12.361395,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:13.493934,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:14.592624,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:15.885200,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:17.250537,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:18.356832,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:19.496832,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:20.623782,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:21.778996,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:22.931149,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:24.093422,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:25.218756,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:26.414079,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:27.513599,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:28.613750,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:29.757476,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:30.915680,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:32.017667,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:33.178755,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:34.364093,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:35.562692,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:37.020167,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:38.422451,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:39.690595,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:41.071756,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:42.519316,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:43.909672,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:45.331102,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:46.715965,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:48.018899,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:49.277845,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:50.543147,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:51.860622,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:53.085635,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:54.360787,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:55.648909,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:56.997524,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:58.353755,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:39:59.650803,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:01.326094,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:02.815954,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:04.131443,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:05.499246,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:06.836134,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:08.139024,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:09.375314,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:10.628800,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:11.863149,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:13.000460,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:14.220681,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:15.441871,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:16.675187,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.8828571428571426)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:17.964189,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:19.198451,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:20.465894,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:21.704823,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:22.931820,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:24.119625,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:25.375434,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:26.552501,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:27.726956,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:28.882044,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:30.155883,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:31.389801,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:32.943671,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:34.338957,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:35.677249,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:36.966976,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:38.575478,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:40.058585,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:41.255076,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1676190476190476)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:42.463436,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:43.646463,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.3273333333333333)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.625)","(10.0, 99999, 99990)","(10.0, 19.0, 17.933333333333334)","(14.0, 32.0, 27.25)"
04-01-2023 14:40:44.812772,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.1557142857142857)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.5, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.0, 18.37777777777778)","(14.0, 32.0, 20.0)"
04-01-2023 14:40:45.984817,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.75, 3.1557142857142857)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:47.270238,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.75, 3.4248000000000003)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:48.526720,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.4248000000000003)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:49.861619,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.4248000000000003)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:51.143042,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 3.4248000000000003)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:52.531469,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.917777777777778)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:53.866426,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.917777777777778)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
04-01-2023 14:40:55.246240,"(61.0, 200.0, 157.14285714285714)","(2.8, 3.7, 2.917777777777778)","(3.7, 6.8, 4.156521739130435)","(13.0, 29.0, 24.625)","(3.2, 4.4, 3.5875000000000004)","(10.0, 99999, 99990)","(10.0, 19.5, 18.37777777777778)","(14.0, 34.0, 20.0)"
