,Debs Baby,White Snake,Sketchy Zara,Walking On Fire,White Ticket,Super Keen,Kaidee Dixie,Arrogant Suzy
12-01-2023 16:43:44.171033,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.6125)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 37.1)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:45.344087,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.6125)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 37.1)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:46.632383,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 37.1)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:47.813180,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:49.101154,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:50.381318,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:51.568106,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:52.801039,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:53.921965,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:55.111273,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:56.294776,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:57.457140,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 68.47999999999999)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:58.644187,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.65625)","(26.0, 85.0, 72.17391304347825)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:43:59.852323,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.9450000000000003)","(26.0, 85.0, 72.17391304347825)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:44:01.029232,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.9450000000000003)","(26.0, 85.0, 72.17391304347825)","(21.0, 70.0, 42.22222222222222)","(21.0, 70.0, 40.625)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 335.0)"
12-01-2023 16:44:02.135164,"(16.0, 50.0, 28.0)","(3.3, 5.1, 3.9450000000000003)","(26.0, 85.0, 72.17391304347825)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:03.569785,"(16.0, 48.0, 37.66666666666667)","(3.3, 5.1, 4.081818181818182)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:04.903970,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.081818181818182)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:06.136109,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.081818181818182)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 25.0, 24.708333333333336)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:07.371619,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.081818181818182)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 25.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:08.717132,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.081818181818182)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:10.114549,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.528947368421052)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:11.515147,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.528947368421052)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:12.934532,"(16.0, 50.0, 28.0)","(3.3, 5.1, 4.266666666666667)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:14.230891,"(16.0, 50.0, 28.0)","(3.3, 5.2, 4.266666666666667)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:15.717199,"(16.0, 50.0, 28.0)","(3.3, 5.2, 4.266666666666667)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:16.918841,"(16.0, 50.0, 28.0)","(3.3, 5.2, 4.266666666666667)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:18.265308,"(16.0, 50.0, 29.88888888888889)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:19.453985,"(16.0, 46.0, 29.88888888888889)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:20.664642,"(16.0, 46.0, 27.545454545454547)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:22.024371,"(16.0, 46.0, 27.8)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:23.505418,"(16.0, 44.0, 27.8)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
12-01-2023 16:44:24.802306,"(16.0, 44.0, 27.8)","(3.3, 5.2, 4.033333333333333)","(26.0, 85.0, 66.84615384615384)","(21.0, 70.0, 43.333333333333336)","(21.0, 70.0, 44.93333333333334)","(1.4, 1.95, 1.69)","(11.0, 24.0, 23.46938775510204)","(71.0, 590.0, 276.1538461538462)"
