,Dr Racheal,Nyah Nyah Demon,Hustle Nina,Be Yourself,Hot Fudge,Mini Mason,Tinker Dan,Be Little
07-12-2022 17:57:51.666646,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.98, 1.915)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 104.28571428571428)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 34.90909090909091)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.7)"
07-12-2022 17:57:52.939947,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.915)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 104.28571428571428)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.7)"
07-12-2022 17:57:54.166097,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.93)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 104.28571428571428)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.7)"
07-12-2022 17:57:55.317270,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.924375)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 82.85714285714286)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:57:56.537186,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.924375)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 82.85714285714286)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:57:57.599323,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 88.75)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:57:58.695112,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 97.0)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:57:59.722242,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 100.0)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:00.798122,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:01.866132,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:02.987125,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.416666666666666)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:04.127419,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.99, 1.9105882352941175)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:05.319257,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.98, 1.92)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:06.460208,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.98, 1.92)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:07.653015,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.98, 1.92)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:08.747122,"(10.0, 13.0, 11.166666666666666)","(1.85, 1.98, 1.92)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:09.776783,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.98, 1.92)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:10.802783,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.98, 1.94)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:11.833111,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9233333333333333)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:12.903249,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9257142857142857)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:13.984195,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.9257142857142857)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:15.135731,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.95)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:16.316685,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.95)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:17.468009,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.95)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 35.07692307692308)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:18.599330,"(10.0, 13.0, 10.934782608695652)","(1.85, 1.99, 1.95)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 33.8)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
07-12-2022 17:58:19.697755,"(10.0, 13.0, 10.934782608695652)","(1.85, 2.0, 1.9381249999999999)","(4.4, 6.0, 5.214285714285714)","(31.0, 130.0, 87.14285714285714)","(9.0, 14.5, 12.294117647058824)","(10.0, 36.0, 33.8)","(10.0, 20.0, 19.1875)","(8.0, 19.0, 18.785714285714285)"
