,Watching You Dream,Testarudo,The Black Assassin,Crime Dont Pay,Jaccka Lucas Nz,Dream Copy,Dressed In Gold Nz,Flashlight Dancer,Western Ron
09-01-2023 16:36:59.918376,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.89, 1.8366666666666667)"
09-01-2023 16:37:01.195488,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.89, 1.8366666666666667)"
09-01-2023 16:37:02.345380,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.89, 1.8366666666666667)"
09-01-2023 16:37:03.450276,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:04.560468,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:05.720709,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:06.779480,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:08.027933,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:09.204500,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
09-01-2023 16:37:10.335092,"(101.0, 220.0, 196.66666666666666)","(101.0, 220.0, 150.0)","(41.0, 210.0, 100.66666666666666)","(14.0, 40.0, 22.0)","(21.0, 99999, 99990)","(81.0, 220.0, 195.83333333333334)","(2.0, 99999, 99990)","(18.0, 75.0, 27.916666666666664)","(1.7, 1.88, 1.8299999999999998)"
