,Mt View Dodger,Starters King,Cailahs Crew,Storm Raptor,Sazan Bale,Mighty Tuscany,Soda Jazzy,Stress Test
0,"[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 31, 42422), 3.0, 4.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 21.0, 200.0]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 32, 228249), 3.0, 4.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 33, 397178), 3.0, 4.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 34, 548293), 3.0, 4.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 35, 698569), 3.0, 3.95]"
5,"[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 36, 842590), 3.0, 3.95]"
6,"[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 38, 4354), 3.0, 3.95]"
7,"[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 39, 140384), 3.0, 3.95]"
8,"[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 40, 279478), 3.0, 3.95]"
9,"[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 41, 419352), 3.0, 3.95]"
10,"[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 41.0, 350.0]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 2.1, 2.62]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 21.0, 190.0]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 3.7, 6.8]","[datetime.datetime(2022, 11, 28, 16, 23, 42, 571694), 3.0, 3.95]"
