,Gold On Black,But It Pours,Be My Express,Cosmic Franky,Lucky Bundy,Key Bon,Sketchy In By,Never Forgotten
04-01-2023 12:11:25.237332,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:26.419155,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:27.583594,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:28.634254,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:29.795422,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:30.874897,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:31.934731,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:33.035383,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:34.130473,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:35.204485,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:36.226496,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:37.357896,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:38.447589,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:39.560740,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:40.670587,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
04-01-2023 12:11:41.686241,"(1.95, 3.15, 2.7427083333333333)","(11.0, 28.0, 21.928571428571427)","(21.0, 65.0, 43.0)","(3.8, 6.4, 4.816666666666666)","(18.0, 55.0, 36.5)","(12.0, 34.0, 26.321428571428573)","(6.0, 12.0, 10.071428571428571)","(10.0, 28.0, 22.53125)"
