,Oldrik Bale,Reiko Oreo,Claretown Ryan,Raving Icon,Aston Houston,Nalani Bale,Aston Tenge,Spring Bjorn
06-01-2023 15:49:14.616224,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:15.823326,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:17.038014,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:18.474491,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:19.861416,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:21.162577,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:22.599922,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:23.978814,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:25.423115,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:26.540733,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
06-01-2023 15:49:27.729613,"(4.2, 6.2, 5.764516129032258)","(4.0, 5.7, 5.406976744186046)","(8.0, 14.5, 10.166666666666666)","(11.0, 36.0, 28.0)","(7.0, 14.0, 9.466666666666667)","(6.0, 13.0, 11.141935483870967)","(5.0, 9.2, 7.068421052631579)","(7.5, 18.5, 9.157142857142857)"
