,Bob,Vincenzo,Mums The Boss,Spirit Of Macher,Dark Lever,Single Babe,Tinas Rock,Whos In Winny
08-12-2022 13:06:44.237128,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.7848837209302326)","(2.4, 3.25, 2.944)","(41.0, 280.0, 176.0)","(41.0, 220.0, 166.28571428571428)","(18.0, 95.0, 84.84615384615384)","(31.0, 140.0, 78.9090909090909)","(4.6, 8.0, 6.875)"
08-12-2022 13:06:45.507930,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.7848837209302326)","(2.4, 3.25, 2.944)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 140.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:46.650424,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6863636363636365)","(2.4, 3.25, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:47.796774,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:48.949095,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:50.069114,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:51.284135,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:52.391000,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:53.529680,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:54.790649,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.8760975609756096)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:55.955346,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.87175)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 84.84615384615384)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:57.079517,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.87175)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 95.0, 100.5)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:58.236326,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.87175)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 120.0, 100.5)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:06:59.332836,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.87175)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 120.0, 100.5)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:00.466112,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.85, 3.6925)","(2.4, 3.05, 2.87175)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 120.0, 100.5)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:01.622605,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.7409836065573767)","(2.4, 3.05, 2.8905714285714286)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 120.0, 100.5)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:02.764011,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.7409836065573767)","(2.4, 3.05, 2.903157894736842)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 120.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:03.892468,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.557692307692308)","(2.4, 3.05, 2.903157894736842)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:04.994298,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:06.136417,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:07.229398,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:08.377422,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:09.504641,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
08-12-2022 13:07:10.557370,"(4.2, 6.6, 6.518181818181818)","(3.3, 3.8, 3.614705882352941)","(2.4, 3.05, 2.9069230769230767)","(41.0, 280.0, 94.4)","(41.0, 220.0, 127.0)","(18.0, 110.0, 97.53846153846153)","(31.0, 130.0, 100.85714285714286)","(4.6, 8.0, 7.470588235294118)"
