,Night Boss,Shanghai Candy,Freedom Rider,Purple Shirt,Political Decision,Missionsninetynine,Late In The Game
15-12-2022 12:48:47.595532,"(5.0, 9.4, 8.36)","(6.5, 18.5, 15.166666666666666)","(2.25, 3.7, 3.672727272727273)","(7.5, 13.5, 12.263157894736842)","(16.0, 80.0, 66.7)","(2.9, 5.9, 5.6)","(3.9, 4.9, 4.310344827586207)"
15-12-2022 12:48:48.916772,"(5.0, 9.2, 8.36)","(6.5, 17.0, 15.59090909090909)","(2.25, 3.7, 3.669230769230769)","(7.5, 13.0, 12.263157894736842)","(16.0, 80.0, 53.599999999999994)","(2.9, 5.8, 5.6)","(3.9, 4.9, 4.310344827586207)"
15-12-2022 12:48:50.312192,"(5.0, 9.2, 8.505263157894737)","(6.5, 16.0, 15.59090909090909)","(2.25, 3.75, 3.669230769230769)","(7.5, 13.0, 12.263157894736842)","(16.0, 80.0, 53.599999999999994)","(2.9, 5.8, 5.84)","(3.9, 4.9, 4.310344827586207)"
15-12-2022 12:48:51.644735,"(5.0, 9.0, 8.473684210526315)","(6.5, 16.0, 15.59090909090909)","(2.25, 3.75, 3.6916666666666664)","(7.5, 13.0, 12.263157894736842)","(16.0, 80.0, 50.599999999999994)","(2.9, 6.0, 5.953333333333333)","(3.9, 4.9, 4.431666666666667)"
15-12-2022 12:48:52.865751,"(5.0, 8.8, 8.145454545454546)","(6.5, 16.0, 15.59090909090909)","(2.25, 3.75, 3.6916666666666664)","(7.5, 13.0, 12.263157894736842)","(16.0, 75.0, 19.1)","(2.9, 6.0, 5.007446808510638)","(3.9, 4.8, 4.4067567567567565)"
15-12-2022 12:48:54.167493,"(5.0, 8.8, 7.927272727272727)","(6.5, 16.0, 14.147058823529411)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.34375)","(16.0, 26.0, 19.4)","(2.9, 5.1, 4.7727272727272725)","(3.9, 4.6, 4.32258064516129)"
15-12-2022 12:48:55.500872,"(5.0, 8.8, 8.22857142857143)","(6.5, 16.0, 14.25)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.34375)","(16.0, 26.0, 20.75)","(2.9, 5.1, 5.0)","(3.9, 4.5, 4.32258064516129)"
15-12-2022 12:48:56.641480,"(5.0, 8.8, 8.22857142857143)","(6.5, 16.0, 14.25)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.34375)","(16.0, 26.0, 22.85)","(2.9, 5.4, 5.026666666666667)","(3.9, 4.5, 4.282857142857143)"
15-12-2022 12:48:57.819280,"(5.0, 8.8, 8.0)","(6.5, 16.0, 13.277777777777779)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.25)","(16.0, 26.0, 22.85)","(2.9, 5.4, 5.0888888888888895)","(3.9, 4.5, 4.282857142857143)"
15-12-2022 12:48:58.855266,"(5.0, 8.8, 8.329411764705883)","(6.5, 16.0, 14.25)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.25)","(16.0, 26.0, 22.85)","(2.9, 5.4, 5.0888888888888895)","(3.9, 4.5, 4.288888888888889)"
15-12-2022 12:48:59.895192,"(5.0, 8.8, 8.266666666666667)","(6.5, 16.0, 14.5)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.052631578947368)","(16.0, 26.0, 20.3)","(2.9, 5.4, 5.0888888888888895)","(3.9, 4.5, 4.288888888888889)"
15-12-2022 12:49:01.060402,"(5.0, 8.8, 8.266666666666667)","(6.5, 16.0, 14.5)","(2.25, 3.85, 3.7293103448275864)","(7.5, 13.0, 12.052631578947368)","(16.0, 26.0, 20.3)","(2.9, 5.4, 5.0)","(3.9, 4.5, 4.561904761904762)"
15-12-2022 12:49:02.273560,"(5.0, 8.8, 8.218181818181819)","(6.5, 16.0, 14.333333333333334)","(2.25, 3.85, 3.754545454545455)","(7.5, 13.0, 11.75)","(16.0, 26.0, 20.6)","(2.9, 5.4, 4.983333333333333)","(3.9, 4.6, 4.561904761904762)"
15-12-2022 12:49:03.466192,"(5.0, 8.8, 8.666666666666668)","(6.5, 16.0, 14.75)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.75)","(16.0, 26.0, 21.8)","(2.9, 5.4, 5.275)","(3.9, 4.6, 4.611764705882353)"
15-12-2022 12:49:04.690260,"(5.0, 8.8, 8.654545454545454)","(6.5, 15.5, 14.7)","(2.25, 3.85, 3.675)","(7.5, 13.0, 11.75)","(16.0, 25.0, 20.0)","(2.9, 5.4, 5.252941176470588)","(3.9, 4.7, 4.611764705882353)"
