,Hazey Roy,Miss Maddy Lee,Chasing Clout,Purdys Chance,Bob Barker
10-01-2023 13:09:01.305216,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:02.175002,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:03.113537,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:04.112402,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:05.129669,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:06.010787,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:06.949552,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:07.961966,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:08.956190,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:09:09.810769,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
