,Opawa Richard,Hes Iconic,Uncle Albert,Big Time Foxy,Redeem A Rapper,Mow Cow,Opawa Amiekay
04-01-2023 10:08:51.250346,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:52.201069,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:53.241741,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:54.195800,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:55.223905,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:56.155831,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:57.062621,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:57.978264,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:58.948119,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
04-01-2023 10:08:59.877960,"(3.6, 9.8, 5.9206896551724135)","(16.0, 95.0, 57.72727272727273)","(18.0, 100.0, 57.25)","(17.0, 70.0, 60.75)","(6.0, 20.0, 14.503225806451614)","(2.9, 7.8, 4.835999999999999)","(2.9, 4.7, 4.446808510638298)"
