,Claim The Crown,Huon,Rockribbed,Go Troppo,Luvoir,Unamerican,Three Kings,Catapult,Ka Bling,Time Raid,Cadetship,Butchnbugs
04-01-2023 16:12:34.305769,"(21.0, 36.0, 31.2)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 38.666666666666664)","(41.0, 150.0, 102.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.666666666666668)","(9.0, 16.0, 14.428571428571429)","(31.0, 240.0, 152.5)","(4.4, 99999, 99990)","(31.0, 80.0, 72.8)"
04-01-2023 16:12:36.443523,"(21.0, 36.0, 31.2)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 38.666666666666664)","(41.0, 150.0, 102.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.666666666666668)","(9.0, 16.0, 11.433333333333334)","(31.0, 240.0, 152.5)","(4.4, 99999, 99990)","(31.0, 80.0, 72.8)"
04-01-2023 16:12:38.471337,"(21.0, 36.0, 32.57142857142857)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 40.666666666666664)","(41.0, 150.0, 102.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.5, 13.125)","(31.0, 240.0, 152.5)","(4.4, 99999, 99990)","(31.0, 80.0, 72.8)"
04-01-2023 16:12:40.456981,"(21.0, 36.0, 37.6)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.824561403508771)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 40.666666666666664)","(41.0, 150.0, 102.5)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.5, 13.076923076923077)","(31.0, 240.0, 152.5)","(4.4, 99999, 99990)","(31.0, 80.0, 65.6)"
04-01-2023 16:12:43.160373,"(21.0, 40.0, 35.77777777777778)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 40.666666666666664)","(41.0, 150.0, 136.42857142857144)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 14.2)","(31.0, 240.0, 201.1111111111111)","(4.4, 99999, 99990)","(31.0, 80.0, 65.6)"
04-01-2023 16:12:44.938534,"(21.0, 38.0, 35.77777777777778)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 40.666666666666664)","(41.0, 150.0, 142.08333333333334)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.31578947368421)","(31.0, 240.0, 201.1111111111111)","(4.4, 99999, 99990)","(31.0, 80.0, 65.6)"
04-01-2023 16:12:46.634855,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 40.666666666666664)","(41.0, 150.0, 142.08333333333334)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.31578947368421)","(31.0, 240.0, 201.1111111111111)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:48.528753,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 143.21428571428572)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.666666666666666)","(31.0, 240.0, 208.1818181818182)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:50.481581,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 143.21428571428572)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.666666666666666)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:52.282827,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.90909090909091)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 143.21428571428572)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.666666666666666)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:54.022182,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 143.21428571428572)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 15.0, 13.954545454545453)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:55.740188,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 132.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.346153846153847)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:57.383263,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 132.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.083333333333334)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:12:59.127751,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 132.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.083333333333334)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:13:00.919738,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 141.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.083333333333334)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:13:02.902726,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 141.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.205882352941178)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:13:05.128453,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 141.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 14.205882352941178)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
04-01-2023 16:13:06.913458,"(21.0, 38.0, 32.375)","(3.2, 3.65, 3.5257894736842106)","(3.7, 5.0, 4.817073170731707)","(10.0, 11.0, 10.944444444444445)","(21.0, 44.0, 41.05882352941177)","(41.0, 150.0, 141.0)","(81.0, 90.0, 82.5)","(19.0, 28.0, 26.2)","(9.0, 14.5, 13.956521739130435)","(31.0, 240.0, 126.66666666666666)","(4.4, 99999, 99990)","(31.0, 80.0, 56.0)"
