,Its Cleo,Hendy,Feel The Magic,Thatll Do Neo,Jimmy The Singer,Cashmere Kaos,Mortons Jilliby,Nine Nine
08-01-2023 13:20:11.013757,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:12.170884,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:13.357383,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:14.559529,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:15.770253,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:16.985309,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:18.127802,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:19.300167,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:20.501493,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
08-01-2023 13:20:21.754563,"(31.0, 290.0, 160.0)","(3.6, 5.2, 3.7333333333333334)","(9.0, 17.0, 16.011764705882353)","(8.5, 22.0, 19.48)","(4.2, 6.8, 5.68780487804878)","(8.5, 18.0, 10.0)","(5.5, 10.0, 5.86)","(4.0, 7.0, 5.711363636363636)"
