,Skip The Bull,Ice Bar,Rey O Reyes,Ingreido,Earthquakedirector,Tweet This,Feisty Kitten,Lunar Image,Suleman
06-01-2023 13:18:12.104802,"(19.0, 99999, 99990)","(6.0, 13.5, 12.02)","(4.6, 7.8, 6.88)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:13.511712,"(19.0, 99999, 99990)","(6.0, 13.5, 12.02)","(4.6, 7.8, 7.381818181818182)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:14.822604,"(19.0, 99999, 99990)","(6.0, 13.5, 12.02)","(4.6, 7.8, 6.92)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:16.157591,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.6, 7.8, 6.3999999999999995)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:17.485566,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.6, 8.0, 6.92)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:18.744127,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.6, 7.8, 6.92)","(5.5, 11.0, 9.433333333333334)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:19.980360,"(19.0, 99999, 99990)","(6.0, 13.5, 12.677777777777777)","(4.6, 7.8, 6.92)","(5.5, 11.5, 9.433333333333334)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:21.322585,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 7.8, 6.92)","(5.5, 11.5, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:22.652139,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 7.8, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 24.666666666666668)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:24.042441,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 31.263157894736842)","(26.0, 46.0, 37.66666666666667)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:25.356938,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 29.5)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:26.631430,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.75)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:27.806504,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 24.666666666666668)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:29.323338,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:31.047241,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
06-01-2023 13:18:32.443750,"(19.0, 99999, 99990)","(6.0, 13.5, 12.266666666666667)","(4.6, 8.0, 7.04)","(5.5, 11.0, 9.96)","(26.0, 32.0, 29.6)","(4.6, 5.9, 5.566666666666667)","(26.0, 32.0, 30.4)","(26.0, 46.0, 33.5)","(2.05, 3.05, 2.7961538461538464)"
