,Avvertimento,Blazing Sunrise,Dissonance,Lady Tabloid,Discreet Miss,Cider Bite,Spritely Emily,Talent Award
08-01-2023 13:17:26.663988,"(9.0, 18.0, 13.0)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.389090909090909)","(4.0, 6.0, 5.571428571428571)","(8.5, 12.5, 10.700000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:27.750962,"(9.0, 17.0, 13.75)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:28.840501,"(9.0, 17.0, 13.75)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:29.980749,"(9.0, 18.0, 13.0)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:31.088550,"(9.0, 14.0, 11.8125)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:32.217363,"(9.0, 14.0, 11.8125)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:33.308455,"(9.0, 14.0, 10.5)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(4.0, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:34.414048,"(9.0, 14.0, 10.5)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 11.42)","(7.0, 9.4, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:35.556737,"(9.0, 14.0, 12.090909090909092)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:36.732356,"(9.0, 14.0, 12.090909090909092)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:37.911045,"(9.0, 14.0, 12.090909090909092)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:39.147385,"(9.0, 14.0, 12.090909090909092)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:40.344435,"(9.0, 14.0, 12.090909090909092)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:41.528242,"(9.0, 13.5, 12.575)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:42.688936,"(9.0, 13.5, 12.575)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:43.815861,"(9.0, 13.5, 12.575)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:44.937144,"(9.0, 13.5, 12.575)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:46.030037,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:47.165099,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:48.261436,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:49.380522,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 12.5, 10.34)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:50.409804,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.357142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:51.434684,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:52.450626,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:53.574970,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:54.717399,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:55.848309,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:56.902634,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:57.948481,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:58.977762,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 8.366666666666667)","(101.0, 220.0, 140.0)"
08-01-2023 13:18:00.022503,"(9.0, 13.5, 12.1)","(7.0, 14.0, 11.9)","(21.0, 70.0, 38.75)","(2.15, 2.4, 2.3657142857142857)","(3.9, 6.0, 5.571428571428571)","(8.5, 17.0, 15.2)","(7.0, 9.2, 7.628571428571428)","(101.0, 220.0, 140.0)"
