,Lamont Bale,Caps Lock On,Rogue Temptation,Specter Litt,Hoppy Bob,Bigsy,Summer Daze,Jasper Bale
15-12-2022 15:14:10.799702,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.6, 6.2195121951219505)","(4.2, 7.2, 6.342857142857143)","(4.6, 8.8, 7.516279069767442)"
15-12-2022 15:14:12.158347,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.6, 6.2195121951219505)","(4.2, 7.2, 6.342857142857143)","(4.6, 8.8, 7.516279069767442)"
15-12-2022 15:14:13.327327,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.6, 6.390243902439025)","(4.2, 7.2, 6.342857142857143)","(4.6, 8.8, 7.516279069767442)"
15-12-2022 15:14:14.530634,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.8, 7.516279069767442)"
15-12-2022 15:14:15.805239,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.8, 7.516279069767442)"
15-12-2022 15:14:17.190396,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.8, 7.372093023255814)"
15-12-2022 15:14:18.419715,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:19.578413,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:20.657775,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:21.808895,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.276923076923077)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:23.021930,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.73)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 5.974390243902439)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:24.188575,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 4.9, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.2480769230769235)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:25.398890,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.2480769230769235)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:26.690553,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.2480769230769235)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:27.936108,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.2480769230769235)","(4.6, 8.6, 7.372093023255814)"
15-12-2022 15:14:29.147506,"(10.0, 21.0, 17.3125)","(6.0, 10.5, 8.504347826086956)","(61.0, 550.0, 466.66666666666663)","(18.0, 42.0, 28.75)","(3.6, 5.1, 3.7666666666666666)","(4.4, 6.8, 6.390243902439025)","(4.2, 7.2, 6.2480769230769235)","(4.6, 8.6, 7.372093023255814)"
