,Bethencourt,Five Crowns,Momack,Shaka Rock,Galaxy Belle,Awesome Lad,Diva Bella,Showtime Lady,Oakfield Prince,Sonic Tycoon,Burning Need,La Jolie Fille,Ella Te Ama,Izfallingdown,Tornado Light
15-12-2022 15:39:05.276494,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.735849056603774)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 55.0, 46.888888888888886)","(5.5, 7.2, 7.132075471698113)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:06.921903,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.735849056603774)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(5.5, 7.2, 7.132075471698113)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:08.688912,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.735849056603774)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(5.5, 7.2, 7.132075471698113)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:10.361759,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.508196721311476)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(5.5, 7.2, 7.132075471698113)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:12.155581,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.508196721311476)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:13.970024,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.508196721311476)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:15.745543,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.508196721311476)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 173.63636363636363)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:17.473634,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.735849056603774)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.9)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:19.223620,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.735849056603774)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.5, 14.166666666666666)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
15-12-2022 15:39:20.917770,"(3.9, 4.9, 4.8939393939393945)","(19.0, 34.0, 28.428571428571427)","(12.0, 15.0, 14.1)","(31.0, 100.0, 66.25)","(9.0, 14.0, 13.30188679245283)","(6.5, 8.4, 8.358823529411765)","(19.0, 26.0, 24.153846153846153)","(10.0, 15.0, 14.166666666666666)","(31.0, 50.0, 46.888888888888886)","(6.0, 7.2, 7.12)","(10.0, 13.0, 11.61111111111111)","(26.0, 50.0, 42.5)","(11.0, 14.5, 13.75)","(71.0, 210.0, 176.66666666666669)","(101.0, 610.0, 265.0)"
