,Talkerup Nz,Malinjang,Cheddar Made Beta Nz,Royal Princess,Windy Hill Wally,Mister Artikulate,Charlevoix,Midnight Somewhere,Whostolemypigeon
08-12-2022 14:03:22.001206,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:23.472044,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:25.187937,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:26.745546,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:28.434726,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:30.009564,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:31.868209,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:33.883298,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:36.617515,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:38.407449,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:39.953492,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
08-12-2022 14:03:41.527853,"(4.2, 99999, 99990)","(10.0, 18.5, 14.75)","(21.0, 99999, 99990)","(5.0, 8.0, 7.125)","(11.0, 19.5, 16.925)","(41.0, 120.0, 106.33333333333333)","(4.8, 8.0, 7.2)","(3.0, 4.9, 4.58)","(12.0, 26.0, 18.25)"
