,Delightful Gnp Nz,Sabreur Nz,Toby Ogara Nz,Secret Operation,Double O Heaven Nz,Animal,Harry Ovens,Steam Cleaned
12-01-2023 15:42:02.093838,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:03.489010,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:04.885291,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:06.376684,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:07.697974,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:08.919246,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:10.040633,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:11.282120,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:12.542878,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
12-01-2023 15:42:13.731855,"(5.0, 99999, 99990)","(101.0, 99999, 99990)","(26.0, 99999, 99990)","(4.4, 6.4, 5.640000000000001)","(4.0, 99999, 99990)","(3.7, 5.8, 4.96)","(15.0, 29.0, 24.5)","(4.2, 7.0, 6.2)"
