,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:46:57.038897,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.2, 7.5200000000000005)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:46:58.538769,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.6000000000000005)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:46:59.998271,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.76)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.25)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:01.587694,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.7)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:03.222445,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.7)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:04.637336,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.7)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:06.069862,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.107692307692307)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 7.8)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:07.473535,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.4, 7.152941176470589)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.3500000000000005)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.0, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:08.952445,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.4, 7.125)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.285714285714286)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.2, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
06-01-2023 13:47:10.421511,"(7.5, 99999, 99990)","(13.0, 16.5, 15.857142857142858)","(4.8, 7.2, 7.125)","(5.0, 6.8, 6.584615384615384)","(5.5, 6.4, 6.285714285714286)","(15.0, 25.0, 22.5)","(19.0, 29.0, 24.625)","(7.0, 8.2, 8.018181818181818)","(13.0, 16.5, 16.457386363636363)","(9.0, 13.0, 12.076923076923077)","(41.0, 75.0, 63.0)","(101.0, 170.0, 145.0)"
