,Jelignite Jack,Diego Delgado,Fraya,The Tax Cullector,Major Slip Up,Rancho Man,Gabbys Ideal,Hit The Track,Clares Fool,Jet Force
06-01-2023 13:33:44.327621,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:45.781967,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:47.256218,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:48.480077,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:49.748717,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:51.031276,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:52.310709,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:53.565922,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:54.810071,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:56.092732,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:57.353763,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.58)","(2.0, 2.46, 2.0904)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 57.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:33:58.712669,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.3, 3.396)","(2.0, 2.46, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 95.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
06-01-2023 13:34:00.042663,"(31.0, 99999, 99990)","(21.0, 48.0, 31.333333333333336)","(2.8, 4.2, 3.396)","(2.0, 2.44, 2.19)","(21.0, 46.0, 30.0)","(26.0, 55.0, 35.0)","(31.0, 90.0, 51.0)","(6.0, 9.6, 8.32)","(31.0, 90.0, 48.66666666666667)","(15.0, 29.0, 19.0)"
