,Awol,Beatty,Medinah,Vivideel,Just Call Me Bella,Mira Flores,Voodoo Woman
08-01-2023 12:22:36.811099,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:37.834632,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:38.934697,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:39.937513,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:40.953744,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:41.986824,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:43.003908,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:44.022318,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:45.054272,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:46.068677,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:47.077467,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:48.074329,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:49.047223,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:50.079195,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:51.080487,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:52.108044,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:53.100085,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:54.140807,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:55.150483,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
08-01-2023 12:22:56.174396,"(2.45, 2.54, 2.465)","(6.0, 10.5, 9.975)","(3.2, 3.6, 3.591044776119403)","(6.0, 12.0, 10.4)","(51.0, 220.0, 123.33333333333334)","(7.0, 12.5, 10.15625)","(19.0, 38.0, 35.66666666666667)"
