,Reality Jewel,Foxy Lady Song,Eddie Jet,Rio Sam,Inter Mary,We Are Cousins,Dolly Dagger,Run Topper
08-12-2022 13:54:20.565815,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 72.72727272727272)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:21.845590,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 72.72727272727272)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:23.123093,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 72.72727272727272)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:24.356657,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 69.5)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:25.529111,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 69.5)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:26.681606,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 69.5)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:27.921039,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 69.5)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:29.161140,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 60.15384615384615)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:30.525528,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 60.15384615384615)","(6.0, 11.0, 10.116666666666667)"
08-12-2022 13:54:31.737127,"(3.3, 6.4, 4.218518518518518)","(12.0, 36.0, 21.3125)","(21.0, 100.0, 43.27272727272727)","(2.45, 4.3, 3.482222222222222)","(7.0, 13.0, 11.7625)","(7.0, 12.5, 8.423529411764706)","(31.0, 110.0, 60.15384615384615)","(6.0, 11.0, 10.116666666666667)"
