,Que Up,Market Scooby,Mystic Rose,Ivanka Tea,Bugs,Hot Hand,Jets To Burn,Afro Puff
09-01-2023 18:51:59.992623,"(10.0, 21.0, 16.75)","(4.2, 5.4, 5.08)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:01.190099,"(10.0, 22.0, 16.75)","(4.2, 5.4, 5.08)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:02.322822,"(10.0, 22.0, 16.75)","(4.2, 5.4, 5.08)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:03.404063,"(10.0, 22.0, 16.75)","(4.2, 5.4, 5.08)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:04.566992,"(10.0, 22.0, 16.75)","(4.2, 5.4, 5.08)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:05.709371,"(10.0, 22.0, 16.75)","(4.2, 5.4, 4.2)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:06.813757,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:08.007908,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:09.133104,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:10.451942,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:11.596133,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:12.838037,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:14.083592,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.15)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:15.272324,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.96363636363636)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.5)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:16.565990,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 16.6)","(8.0, 13.5, 8.25)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.527272727272727)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:17.892406,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 16.6)","(8.0, 13.5, 9.142857142857142)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.527272727272727)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:19.181910,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.96363636363636)","(8.0, 13.5, 9.142857142857142)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.527272727272727)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:20.383381,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.555555555555557)","(8.0, 13.5, 9.142857142857142)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.527272727272727)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
09-01-2023 18:52:21.571397,"(10.0, 22.0, 16.75)","(4.2, 5.2, 4.92)","(11.0, 21.0, 18.555555555555557)","(8.0, 13.5, 9.142857142857142)","(31.0, 130.0, 67.23076923076923)","(2.3, 4.1, 3.527272727272727)","(4.0, 6.4, 5.771428571428572)","(21.0, 85.0, 46.25)"
