,Sweet Babe,Yumar,Headache Gray,Its Time Lionel,Instigate,Mott The Hoople,Love You Wayne,Love A Rum
0,"[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 18, 887442), 2.8, 6.4]"
1,"[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 20, 53036), 2.8, 6.2]"
2,"[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 21, 196383), 2.8, 6.2]"
3,"[datetime.datetime(2022, 11, 28, 11, 19, 22, 332233), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 22, 333232), 2.8, 6.2]"
4,"[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 23, 468901), 2.8, 6.2]"
5,"[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 24, 611256), 2.8, 6.2]"
6,"[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 25, 747434), 2.8, 6.2]"
7,"[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 26, 888799), 2.8, 6.2]"
8,"[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 28, 34458), 2.8, 6.2]"
9,"[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 29, 164362), 2.8, 6.2]"
10,"[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 304616), 2.8, 6.2]"
11,"[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 2.9, 4.5]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 3.3, 5.6]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 7.5, 13.5]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 12.0, 29.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 81.0, 500.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 437582), 2.8, 6.2]"
