,Stupendo,Bahama Bay,Blakmax,Cuban Sunset,Dream Statement,Mt Niseko,Sorel Rising,Everylittle Breeze,Freeways,Harmonious Senora,Miss Magnifico,Under The Palais,Doublern
04-01-2023 14:50:02.648632,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.333333333333332)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 22.0, 17.833333333333332)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.523170731707317)"
04-01-2023 14:50:04.182897,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 22.0, 20.25)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.525)"
04-01-2023 14:50:05.680984,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.86842105263158)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.525)"
04-01-2023 14:50:07.098200,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.86842105263158)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.525)"
04-01-2023 14:50:08.521854,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.86842105263158)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.525)"
04-01-2023 14:50:10.033612,"(13.0, 14.5, 13.461538461538462)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.40909090909091)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.704615384615384)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.86842105263158)","(5.0, 6.8, 6.72)","(16.0, 19.0, 18.44736842105263)","(8.5, 9.6, 9.525)"
04-01-2023 14:50:11.761425,"(13.0, 15.0, 14.5)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.166666666666668)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.714285714285715)","(14.0, 18.5, 17.357142857142858)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(16.0, 19.0, 17.833333333333332)","(8.5, 9.6, 9.44)"
04-01-2023 14:50:13.235386,"(13.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.821428571428573)","(14.0, 18.5, 17.357142857142858)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(16.0, 19.0, 17.833333333333332)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:14.679814,"(13.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(14.0, 18.5, 17.357142857142858)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(16.0, 19.0, 17.833333333333332)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:16.291855,"(12.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:17.832468,"(12.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 18.065217391304348)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:19.310414,"(12.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:20.756802,"(12.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:22.239831,"(12.0, 14.5, 14.25)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.72)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:23.737964,"(12.0, 14.5, 14.463636363636363)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.545454545454547)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:25.234088,"(12.0, 14.5, 14.39090909090909)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 21.0, 18.642857142857142)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
04-01-2023 14:50:26.699139,"(12.0, 14.5, 14.205357142857142)","(8.0, 10.5, 9.752)","(10.0, 18.5, 17.25)","(41.0, 75.0, 59.0)","(15.0, 20.0, 19.047619047619047)","(15.0, 18.5, 17.833333333333332)","(20.0, 29.0, 28.0)","(4.4, 5.8, 5.7043478260869565)","(11.0, 18.5, 17.75925925925926)","(14.0, 19.5, 18.166666666666668)","(5.0, 6.8, 6.780952380952381)","(15.0, 19.0, 18.454545454545453)","(8.5, 9.8, 9.389473684210525)"
