,Anjo Tornado,Sorinder Bale,Sophie Did It,Dixie Showband,Ferocious Amigo,Raising Hell,Nobu Girl,Oscar Ruth
08-01-2023 17:42:12.563424,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:13.955943,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:15.263905,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:16.550116,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:17.903099,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:19.339645,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:20.736776,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:21.931344,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:23.166240,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:24.424216,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:25.720164,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 372.5)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:26.934176,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:28.123929,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
08-01-2023 17:42:29.287309,"(2.5, 3.75, 3.3027272727272727)","(3.8, 6.2, 5.370588235294118)","(51.0, 380.0, 128.0)","(16.0, 38.0, 23.0)","(12.0, 27.0, 19.470588235294116)","(101.0, 650.0, 156.66666666666666)","(16.0, 60.0, 28.727272727272727)","(2.4, 3.95, 2.7894736842105265)"
