,Slingshot Roxy,Reality One,Slingshot Penny,Laceby Girl,Rise Again,Crave Calamity,Checkout Chick,Bang On Blue
09-01-2023 18:05:36.949508,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:38.096836,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:39.263328,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:40.394766,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:41.446725,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:42.536515,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:43.672181,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:44.782842,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:45.928568,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:46.994439,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:48.108313,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:49.260287,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:50.354182,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:51.446101,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
09-01-2023 18:05:52.569438,"(10.0, 21.0, 15.166666666666668)","(10.0, 22.0, 19.555555555555557)","(21.0, 65.0, 38.75)","(21.0, 85.0, 46.875)","(6.0, 11.0, 7.571428571428571)","(2.7, 4.3, 3.9666666666666663)","(4.2, 7.6, 5.033333333333333)","(3.4, 3.95, 3.75)"
