,Blue Cherry Miss,River Matt,Scarlett Express,Gabbys Gyros,Tabasco Lad
04-01-2023 11:16:59.552923,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:00.402248,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:01.227591,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:02.104870,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:02.983635,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:03.834330,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:04.681828,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:05.511827,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:06.324612,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:07.231470,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:08.061289,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:08.876149,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:09.740298,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:10.537615,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:11.365866,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:12.208285,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
04-01-2023 11:17:13.101412,"(71.0, 570.0, 485.83333333333337)","(2.9, 4.5, 3.2359999999999998)","(6.5, 11.0, 10.373913043478261)","(2.6, 3.65, 2.6564285714285716)","(3.0, 4.9, 3.2103225806451614)"
