,Burn The Turf,Heaven Scent,Pop Smoke,Street Scandal,Frosty Cake,Whispering Ella,Im All Class,Paint The Trail
0,"[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 3, 271453), 5.5, 10.5]"
1,"[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 4, 410537), 5.5, 10.5]"
2,"[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 5, 543375), 5.5, 10.5]"
3,"[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 6, 673175), 5.5, 10.5]"
4,"[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 7, 816236), 5.5, 10.5]"
5,"[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 8, 955527), 5.5, 10.5]"
6,"[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 10, 93048), 5.5, 10.5]"
7,"[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 11, 260048), 5.5, 10.5]"
8,"[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 12, 393795), 5.5, 10.5]"
9,"[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 3.5, 5.9]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 3.2, 6.2]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 91.0, 650.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 5.0, 5.5]","[datetime.datetime(2022, 11, 28, 10, 55, 13, 527052), 5.5, 10.5]"
