,Outlaw Man Nz,Cocora,Ghost Of Time,Village Voice,Hes A Cool Mach,Malibu Jack,Lord Verde Nz,Wyattflynn,Holi Starzzz
07-12-2022 19:29:51.385491,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:29:53.049817,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:29:54.777620,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:29:56.511420,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:29:57.878760,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:29:59.338882,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:30:00.751524,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.0)"
07-12-2022 19:30:02.097035,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.345454545454546)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.1)"
07-12-2022 19:30:03.549423,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.8, 7.475)","(41.0, 120.0, 76.66666666666667)","(61.0, 110.0, 95.71428571428572)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 40.22222222222222)","(17.0, 23.0, 22.4375)"
07-12-2022 19:30:04.969009,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 100.0)","(61.0, 110.0, 98.75)","(20.0, 27.0, 26.055555555555557)","(4.4, 99999, 99990)","(21.0, 42.0, 36.0)","(17.0, 23.0, 22.4375)"
07-12-2022 19:30:06.273108,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 100.0)","(61.0, 110.0, 98.75)","(20.0, 27.0, 25.125)","(4.4, 99999, 99990)","(21.0, 40.0, 36.0)","(17.0, 23.0, 22.4375)"
07-12-2022 19:30:07.554995,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 100.0)","(61.0, 110.0, 90.0)","(20.0, 27.0, 25.5)","(4.4, 99999, 99990)","(21.0, 40.0, 36.0)","(17.0, 23.0, 22.0)"
07-12-2022 19:30:08.790123,"(1.75, 99999, 99990)","(10.0, 16.5, 15.166666666666666)","(5.0, 8.6, 7.475)","(41.0, 120.0, 100.0)","(61.0, 110.0, 90.0)","(20.0, 27.0, 26.0625)","(4.4, 99999, 99990)","(21.0, 40.0, 36.285714285714285)","(17.0, 23.0, 22.555555555555557)"
