,Little Auckland,Writeaboutchelsea,Champagne Reactor,Datsinahurri,Three Machs,Always At Night,Bertils Firefox,Lesvos Lad,Lazy Blaze
11-01-2023 19:10:39.204785,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 9.6, 9.399999999999999)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:40.423117,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 9.6, 9.399999999999999)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:41.707435,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 9.6, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:42.822699,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:43.999700,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:45.167667,"(71.0, 160.0, 140.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:46.315314,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:47.525766,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:48.662526,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:49.833115,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 58.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:10:51.064948,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 65.0, 62.5)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:10:52.239814,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:53.475268,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:54.677694,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:55.802212,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2444444444444445)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:56.903820,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:58.046574,"(71.0, 160.0, 142.5)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:10:59.154603,"(71.0, 160.0, 132.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:00.281227,"(71.0, 160.0, 132.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:01.478386,"(71.0, 160.0, 132.0)","(101.0, 190.0, 122.5)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:02.625086,"(71.0, 160.0, 132.0)","(101.0, 180.0, 126.66666666666667)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:03.755316,"(71.0, 160.0, 132.0)","(101.0, 190.0, 145.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:04.955463,"(71.0, 160.0, 132.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:06.220265,"(71.0, 160.0, 132.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:07.482077,"(71.0, 160.0, 132.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.1)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:08.684695,"(71.0, 160.0, 132.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:09.888534,"(71.0, 160.0, 108.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:11.091101,"(71.0, 160.0, 108.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:12.344704,"(71.0, 160.0, 108.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:13.458384,"(71.0, 160.0, 108.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:14.661349,"(71.0, 160.0, 108.0)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:15.892849,"(71.0, 160.0, 116.66666666666667)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:17.015074,"(71.0, 160.0, 116.66666666666667)","(101.0, 170.0, 123.33333333333333)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:18.127556,"(71.0, 160.0, 127.5)","(101.0, 190.0, 145.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:11:19.244480,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 145.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:11:20.360915,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 145.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.466666666666667)"
11-01-2023 19:11:21.489600,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 160.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:22.648988,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:23.822744,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:25.032527,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:26.263963,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:27.469246,"(71.0, 160.0, 116.66666666666667)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:28.653236,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.05)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:29.829138,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.278260869565218)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:31.008800,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:32.177991,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:33.357346,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:34.453494,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:35.570741,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
11-01-2023 19:11:36.708228,"(71.0, 160.0, 142.85714285714286)","(101.0, 190.0, 170.0)","(4.6, 7.0, 6.6)","(4.2, 5.3, 5.2)","(3.4, 4.2, 3.7666666666666666)","(31.0, 70.0, 50.0)","(5.5, 8.0, 7.5)","(7.5, 11.0, 10.4)","(6.0, 8.4, 7.7)"
