,Serengeti Gold,Lord Of Misrule Nz,Stars Of America,Yarraman Needy,Youroffal,Mistique,Whisky Bandit,Candy Striper,The Waterboy Nz
16-12-2022 12:18:02.583498,"(101.0, 280.0, 247.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:03.703131,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:04.824763,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:05.937054,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:07.027054,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:08.139370,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:09.280710,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:10.445590,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:11.592639,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:12.679075,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:13.759522,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:14.833729,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:15.898312,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:16.976221,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:18.062053,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:19.157475,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:20.285051,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
16-12-2022 12:18:21.444656,"(101.0, 280.0, 260.5)","(1.35, 99999, 99990)","(26.0, 40.0, 34.0)","(31.0, 65.0, 56.77777777777777)","(101.0, 280.0, 260.5)","(13.0, 28.0, 23.714285714285715)","(91.0, 280.0, 238.0)","(41.0, 190.0, 137.85714285714286)","(2.7, 99999, 99990)"
