,Wendy Peffercorn,Homebush Chilli,Impressive Mario,Harpoon Bale,Replica Rosco,Lonely Gemma,Wrinkly Wayne,King Kong Blonde
0,"[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 6.0, 9.2]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 16.0, 160.0]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 1.4, 1.64]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 6.5, 10.0]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 13.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 9, 50, 9, 75999), 41.0, 500.0]"
1,"[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 16.0, 160.0]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 1.4, 1.63]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 6.5, 9.8]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 13.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 9, 50, 10, 215083), 41.0, 500.0]"
2,"[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 19.0, 160.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 1.35, 1.63]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 9, 50, 11, 381331), 51.0, 500.0]"
3,"[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 6.0, 8.6]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 1.35, 1.63]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 14.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 9, 50, 12, 532141), 51.0, 500.0]"
4,"[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 1.4, 1.63]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 672602), 51.0, 500.0]"
5,"[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 6.0, 8.6]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 19.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 1.4, 1.66]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 819532), 51.0, 500.0]"
6,"[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 19.0, 120.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 1.4, 1.65]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 7.0, 9.4]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 952501), 51.0, 500.0]"
7,"[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 19.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 1.4, 1.67]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 7.0, 9.4]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 111598), 51.0, 500.0]"
8,"[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 19.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 1.4, 1.67]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 238526), 51.0, 500.0]"
9,"[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 19.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 1.4, 1.67]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 7.0, 9.6]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 15.0, 29.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 31.0, 95.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 405033), 51.0, 500.0]"
