,Far Too Far,Solo Fernando,Astral Star,Chop And Drop,Mister Brockie,Russian Inn,Jet Keen,Brindle Bounty
09-01-2023 18:49:09.205283,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:10.551286,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:11.874993,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:13.096813,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:14.415430,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:15.617015,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:16.741387,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:17.857214,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:18.931841,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:20.040385,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 588.8888888888889)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
09-01-2023 18:49:21.280934,"(1.8, 2.6, 1.8909090909090909)","(14.0, 32.0, 28.6)","(14.0, 32.0, 23.0)","(51.0, 440.0, 250.0)","(8.5, 18.5, 14.8625)","(91.0, 650.0, 405.55555555555554)","(3.2, 4.8, 3.585)","(7.5, 14.0, 13.34)"
