,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:08:41.579473,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:42.850677,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:44.135064,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:45.373503,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:46.620888,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:47.897658,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:49.180205,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:50.432677,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:51.704834,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.3)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:52.975322,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.3)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 30.3125)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
